name,new_name,grid_id,grid_name,carnegie_id,carnegie_name
HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-HERBARIA,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
BROAD-INST-MIT-&-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
ARNOLD-ARBORETUM-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-HEBARIA,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
BROAD-INST-HARVARD-UNIV-&-MASSACHUSETTS-INST-TECH,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
RAGON-INST-MGH-MIT-&-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
MIT-&-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
BROAD-INST-HARVARD-UNIV-&-MIT,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-HLTH-SERV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
BROAD-INST-&-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-TH-CHAN-SCH-PUBL-HLTH,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-&-MASSACHUSETTS-INST-TECHNOL,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-HARVARD-FOREST,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
BROAD-INST-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-ART-MUSEUMS,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-LIB,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-BOSTON,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
MASSACHUSETTS-INST-TECHNOL-&-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
ELI-&-EDYTHE-L-BROAD-INST-MIT-&-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-SEAS,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-CAMBRIDGE,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-PRESS,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-INITIAT-GLOBAL-HLTH,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-&-MIT,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-MED-SCH,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-&-PARTNERS-HLTH,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
RAGON-INST-MIT-MGH-&-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HEBREW-SENIORLIFE-&-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-MED-SCH-BOSTON,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-BIOSTAT,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-ORGANISM-&-EVOLUTIONARY-BIOL,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-SCH-MED,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
RAGON-INST-MASSACHUSETTS-GEN-HOSP-HARVARD-UNIV-&,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
BIDMCAND-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
BIOL-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-MASSACHUSETTS-INST-TECHNOL,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
CONSERVAT-INT-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
ELI-&-EDYTHE-BROAD-INST-MIT-&-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
DANA-FARBER-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-HEBREW-SENIOR-LIFE,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
MCB-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-FAC-ARTS-&-SCI-CTR-SYST-BIOL,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
RAGON-INST-MGH-&-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-MED-SCH-&-BROAD-INST-MASSACHUSETTS-I,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-EARTH-&-PLANETARY-SCI,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
MGH-MIT-&-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-UROL,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
HARVARD-UNIV-DPM-HU,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
MGH-HARVARD-UNIV,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
BRD-INST-HARVARD-UNIV-&-MIT,HARVARD-UNIV,grid.38142.3c,Harvard University,166027,Harvard University
