group_tag,group,white_M,hispanic_M,black_M,asian_M,white_F,hispanic_F,black_F,asian_F
R1,r1,0.9923577200254633,0.9931231660389532,0.9930891628749929,0.9415934549730065,0.9738227236980359,0.970694050932317,0.9705908283897581,0.9932258640045155
not R1,r1,0.9880059645953537,0.9856762363445215,0.9906122744859496,0.9193227693642132,0.9807997577538482,0.9770070292659837,0.9785529417307055,0.9899660879010703
private_fp,control,0.7937532668301999,0.7905785008090828,0.8042495425355981,0.6968784554018753,0.8789871649152792,0.8675951703358782,0.8808848122648913,0.8414201902436986
private_nfp,control,0.9955144941548034,0.9933883428457758,0.9955018995117574,0.9281656331740484,0.9600717952756728,0.9583108637255625,0.9562488542062876,0.9760752138706632
public,control,0.985690537526539,0.9866261246480404,0.9874307809209775,0.9360594093592156,0.9788869540513131,0.9749184854695652,0.9762885202358232,0.9960421981842391
Far_West,obereg,0.9940893953175085,0.9953612666587918,0.9950179486384341,0.9337580512932739,0.9682708898606407,0.9676537659031329,0.9645501822903613,0.9843035536135084
Great_Lakes,obereg,0.9887813107009453,0.9885125300043015,0.9904407835459823,0.9306693230239728,0.9805381685828626,0.9767846645504118,0.9778021749205981,0.9933634245923617
Mid_East,obereg,0.9953131509787192,0.9951494026937214,0.9961152259793399,0.9314089411814759,0.9678334951665876,0.9664158696926926,0.9644402260411765,0.9828240584730232
New_England,obereg,0.9948829312835898,0.9934630981918524,0.9949014067322279,0.9288113531967178,0.9601334107016829,0.9585741723855683,0.9560253869400639,0.9759018706955587
Outlying_areas,obereg,0.9390636816901565,0.9386644562537986,0.9413212795416125,0.8777594959418501,0.9061207998852249,0.9054582662454131,0.9018784744490889,0.9202288914543901
Plains,obereg,0.9815402675586787,0.9819680307618105,0.9831572812743686,0.9297627902831402,0.9808296177667555,0.9756511310767522,0.9782154904161158,0.9946581691404371
Rocky_Mountains,obereg,0.9808260985613552,0.9807051974191151,0.9836650188341853,0.9172859999540708,0.9818339188290628,0.9776945799291386,0.9789644405930946,0.9874570664394102
Southeast,obereg,0.980625730802703,0.9803639894395182,0.9820757441923373,0.937507244085505,0.9756821701794582,0.9696276743835532,0.9734627689301802,0.9968265857879752
Southwest,obereg,0.9881680966200769,0.9886100571586249,0.9891269720569128,0.9445531073209995,0.9710598457802577,0.967800185330166,0.9683724865708996,0.9961392226987906
US_Service_schools,obereg,0.7315149234725834,0.7397440823064305,0.7347770630742546,0.6940048357683652,0.7958016973485122,0.7903591835348818,0.7990731568646589,0.7812399546558257
HBCU,hbcu,0.969271197363291,0.9694319838231636,0.9715737121514175,0.9374141208609336,0.9586344131098695,0.9549165189952257,0.9583587274246402,0.9897483142658762
not HBCU,hbcu,0.9922416272538699,0.9922271836640685,0.9934393708884786,0.9367824328624574,0.9765140159823987,0.9732179218490927,0.9735114116861678,0.9932710781168461
HSI,hsi,0.9929073952392514,0.9935421797147737,0.9938637072421511,0.9394159036297559,0.9738508688590475,0.9714466455716153,0.9707006819119941,0.992954186125944
not HSI,hsi,0.9916659002635781,0.9913710885222863,0.9929776671191437,0.935556835432326,0.9774278976778549,0.9737413661483812,0.9745126562585804,0.9932859714552391
MSI,msi,0.9928010291773186,0.9934329774766713,0.9937723519009829,0.9396991358003713,0.97387965361189,0.9714491403024581,0.9707704820409525,0.9932110191727431
not MSI,msi,0.9917185163260354,0.9914177363331038,0.9930263821893328,0.9354147772937726,0.9774575787115007,0.9737727295709419,0.9745258564736898,0.9931891159569423
Womens,womens,0.9481327739701108,0.9486042909939665,0.952662740738694,0.8384491373892098,0.9749253292816411,0.9763708462288362,0.9746850947422198,0.9485429516359534
not womens,womens,0.9922287398032241,0.992213739853659,0.9934220687641327,0.9370876513790857,0.9763923019750428,0.9730782639910691,0.9733968176711719,0.993375011775287
inclusive,selindex,0.9824938929731154,0.9813916872889467,0.9851910179219909,0.9254526373421668,0.9800056668539329,0.975470075869594,0.9781264346887198,0.9944130710392712
more_selective,selindex,0.995175632850156,0.9956477648952173,0.9955595336794053,0.9395622037275153,0.9697121664672533,0.9674029760365378,0.9661352663087092,0.9880161532580627
not_indexed,selindex,0.923397090356363,0.9242110987017197,0.9255970382287889,0.876305188042589,0.958715659155601,0.9508594125478163,0.9583439527808862,0.960480851412121
selective,selindex,0.9835964999765109,0.9829697982502974,0.9858428577923887,0.9294466107541575,0.9804877452541411,0.9759042240824531,0.9782090952905137,0.9957033441234757
