carnegie_group,carnegie_tag,topic,expected_dist
r1,R1,1,0.7779713678709396945
r1,not R1,1,0.22202863212906033206
r1,R1,2,0.778068882174107564
r1,not R1,2,0.22193111782589248723
r1,R1,3,0.77790879335480348265
r1,not R1,3,0.2220912066451965075
r1,R1,4,0.7780333137050319143
r1,not R1,4,0.22196668629496803291
r1,R1,5,0.77806225378129232576
r1,not R1,5,0.22193774621870771518
r1,R1,6,0.7780052662786212263
r1,not R1,6,0.2219947337213788522
r1,R1,7,0.77806874609089067926
r1,not R1,7,0.22193125390910942893
r1,R1,8,0.7780961613945158977
r1,not R1,8,0.22190383860548413249
r1,R1,9,0.77819042870991927204
r1,not R1,9,0.22180957129008078688
r1,R1,10,0.77793180801732686995
r1,not R1,10,0.22206819198267318459
r1,R1,11,0.7780724937877009848
r1,not R1,11,0.22192750621229899974
r1,R1,12,0.77794842520398437545
r1,not R1,12,0.2220515747960156328
r1,R1,13,0.7781398998575383085
r1,not R1,13,0.22186010014246180497
r1,R1,14,0.7781930617588333121
r1,not R1,14,0.22180693824116666579
r1,R1,15,0.77806732257438154744
r1,not R1,15,0.22193267742561843722
r1,R1,16,0.77801029217810510115
r1,not R1,16,0.22198970782189493949
r1,R1,17,0.77805662806486767673
r1,not R1,17,0.22194337193513247097
r1,R1,18,0.77793234089249797846
r1,not R1,18,0.22206765910750199496
r1,R1,19,0.7780842505763547561
r1,not R1,19,0.2219157494236452911
r1,R1,20,0.7779609911962065622
r1,not R1,20,0.22203900880379341802
r1,R1,21,0.77807761558523205194
r1,not R1,21,0.22192238441476792879
r1,R1,22,0.77810692623105964447
r1,not R1,22,0.22189307376894039505
r1,R1,23,0.7780646792203364525
r1,not R1,23,0.22193532077966350295
r1,R1,24,0.77793995107626069213
r1,not R1,24,0.22206004892373938359
r1,R1,25,0.7778505761972473086
r1,not R1,25,0.22214942380275267604
r1,R1,26,0.7779671953613928463
r1,not R1,26,0.22203280463860713079
r1,R1,27,0.77809905099388247804
r1,not R1,27,0.22190094900611747709
r1,R1,28,0.7779891858431174009
r1,not R1,28,0.22201081415688260502
r1,R1,29,0.77798192389544334167
r1,not R1,29,0.22201807610455659307
r1,R1,30,0.7779172193475433918
r1,not R1,30,0.22208278065245668902
r1,R1,31,0.77800417709040609987
r1,not R1,31,0.22199582290959390691
r1,R1,32,0.77787577575215672426
r1,not R1,32,0.22212422424784332378
r1,R1,33,0.77798881575722053265
r1,not R1,33,0.22201118424277952544
r1,R1,34,0.77803948077138997434
r1,not R1,34,0.22196051922861004538
r1,R1,35,0.77796865393974485637
r1,not R1,35,0.22203134606025505088
r1,R1,36,0.77796396536448628124
r1,not R1,36,0.22203603463551369111
r1,R1,37,0.7780167759364710648
r1,not R1,37,0.22198322406352893784
r1,R1,38,0.77797818382732568425
r1,not R1,38,0.22202181617267437114
r1,R1,39,0.7779503473767685322
r1,not R1,39,0.22204965262323146306
r1,R1,40,0.7779781696327377395
r1,not R1,40,0.22202183036726233281
r1,R1,41,0.7780782477277010009
r1,not R1,41,0.22192175227229908036
r1,R1,42,0.778047840727122785
r1,not R1,42,0.2219521592728771398
r1,R1,43,0.77806832474615184584
r1,not R1,43,0.22193167525384809762
r1,R1,44,0.7779759163899735054
r1,not R1,44,0.2220240836100264651
r1,R1,45,0.77804019102726486605
r1,not R1,45,0.22195980897273518391
r1,R1,46,0.77807761619522752144
r1,not R1,46,0.22192238380477258085
r1,R1,47,0.7781541157364976934
r1,not R1,47,0.22184588426350235425
r1,R1,48,0.7779445664326621762
r1,not R1,48,0.22205543356733785467
r1,R1,49,0.77805466827478664006
r1,not R1,49,0.22194533172521327685
r1,R1,50,0.7780684136361077946
r1,not R1,50,0.22193158636389208458
r1,R1,51,0.77806875395939833497
r1,not R1,51,0.22193124604060169128
r1,R1,52,0.7781002404750342453
r1,not R1,52,0.22189975952496563273
r1,R1,53,0.77799805817918976143
r1,not R1,53,0.22200194182081015426
r1,R1,54,0.7780115611108458968
r1,not R1,54,0.22198843888915414975
r1,R1,55,0.7779552922211029235
r1,not R1,55,0.22204470777889698192
r1,R1,56,0.77799621990671057894
r1,not R1,56,0.22200378009328942564
r1,R1,57,0.77790840267874116333
r1,not R1,57,0.22209159732125875119
r1,R1,58,0.77803838392849659596
r1,not R1,58,0.22196161607150333759
r1,R1,59,0.77808401766585379665
r1,not R1,59,0.22191598233414624597
r1,R1,60,0.77796899425795318036
r1,not R1,60,0.22203100574204671915
r1,R1,61,0.77806149797726017694
r1,not R1,61,0.22193850202273987674
r1,R1,62,0.77790100049221796064
r1,not R1,62,0.22209899950778196709
r1,R1,63,0.77792545160482438513
r1,not R1,63,0.22207454839517568153
r1,R1,64,0.77793903835902244553
r1,not R1,64,0.22206096164097758529
r1,R1,65,0.7780522457524608483
r1,not R1,65,0.22194775424753907746
r1,R1,66,0.7779531712969779694
r1,not R1,66,0.22204682870302206751
r1,R1,67,0.77801926295701507214
r1,not R1,67,0.22198073704298495413
r1,R1,68,0.7779933564136091575
r1,not R1,68,0.22200664358639081382
r1,R1,69,0.77831526232585589544
r1,not R1,69,0.2216847376741441608
r1,R1,70,0.77801152687967904225
r1,not R1,70,0.22198847312032090823
r1,R1,71,0.77820167086152641854
r1,not R1,71,0.22179832913847354417
r1,R1,72,0.77790762950096851075
r1,not R1,72,0.22209237049903162523
r1,R1,73,0.77806547938273597117
r1,not R1,73,0.22193452061726395159
r1,R1,74,0.77813898745810848405
r1,not R1,74,0.2218610125418915567
r1,R1,75,0.7779487866353539937
r1,not R1,75,0.22205121336464604624
r1,R1,76,0.7779238206084889939
r1,not R1,76,0.22207617939151097313
r1,R1,77,0.7780320595915629131
r1,not R1,77,0.2219679404084371366
r1,R1,78,0.7781330228254174727
r1,not R1,78,0.22186697717458261559
r1,R1,79,0.77807063828511347485
r1,not R1,79,0.22192936171488657527
r1,R1,80,0.7779737280868625448
r1,not R1,80,0.22202627191313731063
r1,R1,81,0.77823405711359743827
r1,not R1,81,0.22176594288640266863
r1,R1,82,0.77787083942253409897
r1,not R1,82,0.22212916057746591855
r1,R1,83,0.77806130906373084823
r1,not R1,83,0.22193869093626928016
r1,R1,84,0.7780493597849022167
r1,not R1,84,0.22195064021509773258
r1,R1,85,0.77787127335304572103
r1,not R1,85,0.22212872664695427342
r1,R1,86,0.7779252924910986243
r1,not R1,86,0.22207470750890132565
r1,R1,87,0.77801671384924321606
r1,not R1,87,0.22198328615075667004
r1,R1,88,0.7779966787662746844
r1,not R1,88,0.22200332123372519198
r1,R1,89,0.77808232512972067246
r1,not R1,89,0.22191767487027940184
r1,R1,90,0.77796953112453091743
r1,not R1,90,0.22203046887546919328
r1,R1,91,0.777899961386421001
r1,not R1,91,0.22210003861357913784
r1,R1,92,0.7779254981052067501
r1,not R1,92,0.22207450189479328996
r1,R1,93,0.7779541920914380011
r1,not R1,93,0.22204580790856185695
r1,R1,94,0.7780506948011524962
r1,not R1,94,0.22194930519884754642
r1,R1,95,0.7780060506040391315
r1,not R1,95,0.22199394939596078296
r1,R1,96,0.77800865152011507977
r1,not R1,96,0.22199134847988487923
r1,R1,97,0.7779728438486347632
r1,not R1,97,0.22202715615136520227
r1,R1,98,0.778013205991070817
r1,not R1,98,0.22198679400892917006
r1,R1,99,0.7779070051747340185
r1,not R1,99,0.22209299482526603579
r1,R1,100,0.77815876673572586397
r1,not R1,100,0.22184123326427419685
r1,R1,101,0.7780704515028110255
r1,not R1,101,0.22192954849718898413
r1,R1,102,0.77817308850703449213
r1,not R1,102,0.22182691149296546519
r1,R1,103,0.77799591267516066367
r1,not R1,103,0.22200408732483921431
r1,R1,104,0.77804684093235671513
r1,not R1,104,0.22195315906764328257
r1,R1,105,0.77796187337036099333
r1,not R1,105,0.22203812662963910979
r1,R1,106,0.77787820049291009377
r1,not R1,106,0.22212179950708984694
r1,R1,107,0.77802423072805542987
r1,not R1,107,0.22197576927194465974
r1,R1,108,0.7779979524258852805
r1,not R1,108,0.2220020475741146543
r1,R1,109,0.77809744896954121746
r1,not R1,109,0.22190255103045870829
r1,R1,110,0.7780733370486365439
r1,not R1,110,0.2219266629513634484
r1,R1,111,0.77802068348480711807
r1,not R1,111,0.22197931651519287354
r1,R1,112,0.7781510959756220536
r1,not R1,112,0.22184890402437803199
r1,R1,113,0.7781532967531461258
r1,not R1,113,0.2218467032468539543
r1,R1,114,0.77804147745734062136
r1,not R1,114,0.22195852254265946144
r1,R1,115,0.77799470268100088274
r1,not R1,115,0.2220052973189990485
r1,R1,116,0.77821137318868285594
r1,not R1,116,0.22178862681131717723
r1,R1,117,0.7781256620952272371
r1,not R1,117,0.221874337904772806
r1,R1,118,0.7780744735389516631
r1,not R1,118,0.2219255264610482851
r1,R1,119,0.77794480348538064756
r1,not R1,119,0.2220551965146193999
r1,R1,120,0.77798376030622848153
r1,not R1,120,0.22201623969377147493
r1,R1,121,0.7780941239472302006
r1,not R1,121,0.22190587605276977129
r1,R1,122,0.7779892609359465846
r1,not R1,122,0.22201073906405349658
r1,R1,123,0.7781243200014498244
r1,not R1,123,0.22187567999855019068
r1,R1,124,0.7780887032476984055
r1,not R1,124,0.22191129675230162731
r1,R1,125,0.7779308183692635079
r1,not R1,125,0.2220691816307365367
r1,R1,126,0.77800936340464948044
r1,not R1,126,0.22199063659535053635
r1,R1,127,0.7779687974070005304
r1,not R1,127,0.22203120259299940922
r1,R1,128,0.7780473115825204852
r1,not R1,128,0.22195268841747966168
r1,R1,129,0.77799974027530815156
r1,not R1,129,0.2220002597246919358
r1,R1,130,0.77790852712948690924
r1,not R1,130,0.22209147287051323613
r1,R1,131,0.77800626156887142063
r1,not R1,131,0.2219937384311285755
r1,R1,132,0.778071918150533294
r1,not R1,132,0.22192808184946672485
r1,R1,133,0.77807070433696547953
r1,not R1,133,0.22192929566303448127
r1,R1,134,0.7779695883341856912
r1,not R1,134,0.22203041166581424868
r1,R1,135,0.77799564867690713536
r1,not R1,135,0.22200435132309292718
r1,R1,136,0.7780340370244360523
r1,not R1,136,0.22196596297556395953
r1,R1,137,0.7780310875020824159
r1,not R1,137,0.22196891249791765272
r1,R1,138,0.7778759045747180071
r1,not R1,138,0.22212409542528198591
r1,R1,139,0.77796646566840417476
r1,not R1,139,0.2220335343315956809
r1,R1,140,0.77802165886201358406
r1,not R1,140,0.22197834113798641283
r1,R1,141,0.77806804827534150926
r1,not R1,141,0.22193195172465839682
r1,R1,142,0.77810621467672431945
r1,not R1,142,0.22189378532327558623
r1,R1,143,0.77802274725687375217
r1,not R1,143,0.22197725274312623735
r1,R1,144,0.77798344569530414664
r1,not R1,144,0.2220165543046958383
r1,R1,145,0.7778584099287547692
r1,not R1,145,0.22214159007124519349
r1,R1,146,0.77804497018771906486
r1,not R1,146,0.22195502981228092992
r1,R1,147,0.77792552925522498973
r1,not R1,147,0.22207447074477497578
r1,R1,148,0.7779851555435643818
r1,not R1,148,0.22201484445643545026
r1,R1,149,0.7778814251325437252
r1,not R1,149,0.22211857486745623208
r1,R1,150,0.778093567368825308
r1,not R1,150,0.22190643263117460171
r1,R1,151,0.77782794837104602076
r1,not R1,151,0.22217205162895401335
r1,R1,152,0.7780885814643846712
r1,not R1,152,0.22191141853561523768
r1,R1,153,0.7778238816283781306
r1,not R1,153,0.22217611837162187292
r1,R1,154,0.777989689992177359
r1,not R1,154,0.22201031000782259442
r1,R1,155,0.77809858299785335305
r1,not R1,155,0.22190141700214656777
r1,R1,156,0.7780255551118938635
r1,not R1,156,0.22197444488810611533
r1,R1,157,0.7780808119693879607
r1,not R1,157,0.22191918803061205589
r1,R1,158,0.7780425482184284512
r1,not R1,158,0.22195745178157152142
r1,R1,159,0.7779275524325482001
r1,not R1,159,0.22207244756745185136
r1,R1,160,0.7782600695050771098
r1,not R1,160,0.22173993049492287371
r1,R1,161,0.7779265688271669629
r1,not R1,161,0.22207343117283301745
r1,R1,162,0.77807848301444561024
r1,not R1,162,0.22192151698555453558
r1,R1,163,0.7780341013681838951
r1,not R1,163,0.22196589863181606948
r1,R1,164,0.7780831729652069803
r1,not R1,164,0.22191682703479299798
r1,R1,165,0.77812593435235430817
r1,not R1,165,0.22187406564764560156
r1,R1,166,0.77798659479189050906
