carnegie_group,carnegie_tag,topic,expected_dist
r1,R1,1,0.78082270483871506385
r1,not R1,1,0.21917729516128494769
r1,R1,2,0.7808990902402866137
r1,not R1,2,0.21910090975971347193
r1,R1,3,0.78081221354013402835
r1,not R1,3,0.21918778645986594684
r1,R1,4,0.7808707041520843453
r1,not R1,4,0.21912929584791557125
r1,R1,5,0.78088269078740593475
r1,not R1,5,0.21911730921259411339
r1,R1,6,0.78094667470396343374
r1,not R1,6,0.21905332529603648302
r1,R1,7,0.7809567895583421771
r1,not R1,7,0.2190432104416577113
r1,R1,8,0.78100340138898830184
r1,not R1,8,0.21899659861101178049
r1,R1,9,0.78093245123762985885
r1,not R1,9,0.21906754876237016442
r1,R1,10,0.7809796097755961261
r1,not R1,10,0.21902039022440389017
r1,R1,11,0.78092334753017458084
r1,not R1,11,0.21907665246982540874
r1,R1,12,0.7810119479178104708
r1,not R1,12,0.21898805208218951743
r1,R1,13,0.78091230591694941034
r1,not R1,13,0.21908769408305058225
r1,R1,14,0.78101906603217189745
r1,not R1,14,0.21898093396782798975
r1,R1,15,0.7810334433774721267
r1,not R1,15,0.21896655662252800593
r1,R1,16,0.78091111984474497073
r1,not R1,16,0.21908888015525494023
r1,R1,17,0.780999903919744594
r1,not R1,17,0.21900009608025535047
r1,R1,18,0.78090883060894347083
r1,not R1,18,0.2190911693910564443
r1,R1,19,0.78092244728735032066
r1,not R1,19,0.2190775527126496291
r1,R1,20,0.78079220780631512257
r1,not R1,20,0.21920779219368495152
r1,R1,21,0.78090642906216773355
r1,not R1,21,0.2190935709378322186
r1,R1,22,0.78084469835515901806
r1,not R1,22,0.2191553016448410588
r1,R1,23,0.7809335939603683264
r1,not R1,23,0.21906640603963159898
r1,R1,24,0.78102008823696718635
r1,not R1,24,0.2189799117630328654
r1,R1,25,0.78087984949744822493
r1,not R1,25,0.21912015050255180403
r1,R1,26,0.7809218779536251131
r1,not R1,26,0.21907812204637490533
r1,R1,27,0.7811654009519731585
r1,not R1,27,0.21883459904802683417
r1,R1,28,0.7808575792700520248
r1,not R1,28,0.2191424207299480803
r1,R1,29,0.7808591299831075746
r1,not R1,29,0.21914087001689240818
r1,R1,30,0.78072605182156060036
r1,not R1,30,0.21927394817843933264
r1,R1,31,0.78095262268479349085
r1,not R1,31,0.2190473773152065392
r1,R1,32,0.78089674629008002055
r1,not R1,32,0.21910325370992006493
r1,R1,33,0.78090162531351452836
r1,not R1,33,0.21909837468648546523
r1,R1,34,0.7810234427805309979
r1,not R1,34,0.21897655721946902484
r1,R1,35,0.7809114428062581129
r1,not R1,35,0.21908855719374178304
r1,R1,36,0.78099858821914048857
r1,not R1,36,0.21900141178085950502
r1,R1,37,0.780883841615118734
r1,not R1,37,0.21911615838488124566
r1,R1,38,0.7810336007291666372
r1,not R1,38,0.21896639927083342437
r1,R1,39,0.7809159565777773143
r1,not R1,39,0.21908404342222260626
r1,R1,40,0.78097490660408273655
r1,not R1,40,0.21902509339591731803
r1,R1,41,0.7808228603394346798
r1,not R1,41,0.21917713966056535551
r1,R1,42,0.7808981677881524965
r1,not R1,42,0.2191018322118475088
r1,R1,43,0.78095814491785064325
r1,not R1,43,0.21904185508214929881
r1,R1,44,0.7808792953617939967
r1,not R1,44,0.21912070463820609667
r1,R1,45,0.78112279474000997535
r1,not R1,45,0.21887720525999001542
r1,R1,46,0.7808825194299959494
r1,not R1,46,0.21911748057000402452
r1,R1,47,0.7807625630879357216
r1,not R1,47,0.21923743691206420612
r1,R1,48,0.78096131822375269556
r1,not R1,48,0.21903868177624728234
r1,R1,49,0.780761288953381234
r1,not R1,49,0.21923871104661877219
r1,R1,50,0.7809053930407344879
r1,not R1,50,0.2190946069592654456
r1,R1,51,0.7809294553572193766
r1,not R1,51,0.21907054464278067537
r1,R1,52,0.78083712596902215435
r1,not R1,52,0.21916287403097790566
r1,R1,53,0.78090172934318114725
r1,not R1,53,0.21909827065681884906
r1,R1,54,0.7809224256964453823
r1,not R1,54,0.21907757430355471827
r1,R1,55,0.7808448639164033806
r1,not R1,55,0.21915513608359659188
r1,R1,56,0.78082828693688217155
r1,not R1,56,0.21917171306311790864
r1,R1,57,0.7807800532499760764
r1,not R1,57,0.2192199467500238686
r1,R1,58,0.7808987746926647519
r1,not R1,58,0.2191012253073352467
r1,R1,59,0.7810427378229195976
r1,not R1,59,0.21895726217708039512
r1,R1,60,0.7809734019402644816
r1,not R1,60,0.21902659805973555894
r1,R1,61,0.7810339545080050164
r1,not R1,61,0.21896604549199496564
r1,R1,62,0.7809863433330891092
r1,not R1,62,0.21901365666691082027
r1,R1,63,0.7809676741588871489
r1,not R1,63,0.21903232584111279648
r1,R1,64,0.7809767953795158631
r1,not R1,64,0.21902320462048410123
r1,R1,65,0.7808761900823212589
r1,not R1,65,0.2191238099176787293
r1,R1,66,0.78090194379512542505
r1,not R1,66,0.21909805620487445898
r1,R1,67,0.78056975102964015826
r1,not R1,67,0.21943024897035975554
r1,R1,68,0.7811190406745071824
r1,not R1,68,0.21888095932549277694
r1,R1,69,0.78091705486107013107
r1,not R1,69,0.21908294513892977016
r1,R1,70,0.78097975337475783307
r1,not R1,70,0.21902024662524223623
r1,R1,71,0.7809185926067359866
r1,not R1,71,0.2190814073932640157
r1,R1,72,0.78082477506562354474
r1,not R1,72,0.2191752249343764863
r1,R1,73,0.7810105830581887658
r1,not R1,73,0.21898941694181132808
r1,R1,74,0.78102510131707074653
r1,not R1,74,0.21897489868292917461
r1,R1,75,0.780823085223364902
r1,not R1,75,0.21917691477663516385
r1,R1,76,0.78114059599690897705
r1,not R1,76,0.21885940400309107369
r1,R1,77,0.78092861237680539984
r1,not R1,77,0.21907138762319467949
r1,R1,78,0.7810001933920349769
r1,not R1,78,0.2189998066079649246
r1,R1,79,0.78083267156185697286
r1,not R1,79,0.21916732843814301113
r1,R1,80,0.7809575680028782373
r1,not R1,80,0.21904243199712173364
r1,R1,81,0.780817593897210188
r1,not R1,81,0.2191824061027898341
r1,R1,82,0.78093695421973780853
r1,not R1,82,0.21906304578026222727
r1,R1,83,0.7808154893419233551
r1,not R1,83,0.21918451065807657815
r1,R1,84,0.78099174239216132785
r1,not R1,84,0.21900825760783857566
r1,R1,85,0.7809454818729410072
r1,not R1,85,0.2190545181270589384
r1,R1,86,0.7811177652948087216
r1,not R1,86,0.21888223470519125247
r1,R1,87,0.78098872950373558456
r1,not R1,87,0.21901127049626445937
r1,R1,88,0.78092590760953628395
r1,not R1,88,0.21907409239046370649
r1,R1,89,0.78089444707014903514
r1,not R1,89,0.21910555292985093921
r1,R1,90,0.78102468056586014163
r1,not R1,90,0.21897531943413988618
r1,R1,91,0.78082058643381773095
r1,not R1,91,0.2191794135661822729
r1,R1,92,0.78095315526070454193
r1,not R1,92,0.21904684473929553121
r1,R1,93,0.7808724718482336951
r1,not R1,93,0.21912752815176640928
r1,R1,94,0.7810814653248509863
r1,not R1,94,0.21891853467514898032
r1,R1,95,0.7808672842238698452
r1,not R1,95,0.21913271577613009187
r1,R1,96,0.7809926459378852753
r1,not R1,96,0.21900735406211465156
r1,R1,97,0.78111152361547014884
r1,not R1,97,0.21888847638452990903
r1,R1,98,0.7807463987596952112
r1,not R1,98,0.21925360124030467439
r1,R1,99,0.7810034441094602949
r1,not R1,99,0.21899655589053977346
r1,R1,100,0.78080637906602892267
r1,not R1,100,0.2191936209339710678
r1,R1,101,0.78095711128064521637
r1,not R1,101,0.21904288871935473521
r1,R1,102,0.78094387829713560574
r1,not R1,102,0.21905612170286444599
r1,R1,103,0.78096061681417101174
r1,not R1,103,0.21903938318582888873
r1,R1,104,0.7809341584674323436
r1,not R1,104,0.2190658415325675519
r1,R1,105,0.78104114631966506664
r1,not R1,105,0.21895885368033504964
r1,R1,106,0.78091811571091735025
r1,not R1,106,0.2190818842890827368
r1,R1,107,0.7809315438380968657
r1,not R1,107,0.21906845616190317296
r1,R1,108,0.78093306484474373685
r1,not R1,108,0.21906693515525627122
r1,R1,109,0.7809353581458285941
r1,not R1,109,0.21906464185417145679
r1,R1,110,0.7808761640611848864
r1,not R1,110,0.2191238359388151215
r1,R1,111,0.7810436987109014169
r1,not R1,111,0.2189563012890984367
r1,R1,112,0.7808996036029437616
r1,not R1,112,0.21910039639705618116
r1,R1,113,0.7809129979259331467
r1,not R1,113,0.2190870020740667006
r1,R1,114,0.78088686167874646533
r1,not R1,114,0.21911313832125346352
r1,R1,115,0.7809318074679214173
r1,not R1,115,0.21906819253207856862
r1,R1,116,0.7809703174568906991
r1,not R1,116,0.21902968254310926955
r1,R1,117,0.781016200908052186
r1,not R1,117,0.21898379909194778248
r1,R1,118,0.78094173747395937573
r1,not R1,118,0.2190582625260406073
r1,R1,119,0.7808260752240254812
r1,not R1,119,0.21917392477597460563
r1,R1,120,0.78093854488424178136
r1,not R1,120,0.21906145511575820061
r1,R1,121,0.78107215597470473734
r1,not R1,121,0.21892784402529528154
r1,R1,122,0.780957776863120052
r1,not R1,122,0.21904222313687997598
r1,R1,123,0.78109529801726716735
r1,not R1,123,0.21890470198273289408
r1,R1,124,0.780633470410624586
r1,not R1,124,0.21936652958937535747
r1,R1,125,0.78090052925806980433
r1,not R1,125,0.21909947074193022754
r1,R1,126,0.7809426679598664962
r1,not R1,126,0.21905733204013351682
r1,R1,127,0.7807911801302139175
r1,not R1,127,0.21920881986978608437
r1,R1,128,0.7808694831865092988
r1,not R1,128,0.2191305168134907401
r1,R1,129,0.7809279677846095095
r1,not R1,129,0.2190720322153904404
r1,R1,130,0.78089600712951825345
r1,not R1,130,0.21910399287048184434
r1,R1,131,0.7808756567782050036
r1,not R1,131,0.21912434322179503476
r1,R1,132,0.78095034156295323543
r1,not R1,132,0.2190496584370467967
r1,R1,133,0.78095964906229301786
r1,not R1,133,0.2190403509377069781
r1,R1,134,0.7808415808277064938
r1,not R1,134,0.21915841917229346852
r1,R1,135,0.7810519086659140924
r1,not R1,135,0.21894809133408593892
r1,R1,136,0.78095501561395638156
r1,not R1,136,0.2190449843860435454
r1,R1,137,0.7809419755541257666
r1,not R1,137,0.21905802444587420949
r1,R1,138,0.7809401015086637545
r1,not R1,138,0.21905989849133618998
r1,R1,139,0.7809875126559032608
r1,not R1,139,0.21901248734409678906
r1,R1,140,0.7809308597478332313
r1,not R1,140,0.2190691402521668511
r1,R1,141,0.78083018611845518466
r1,not R1,141,0.21916981388154473389
r1,R1,142,0.78092269756689761416
r1,not R1,142,0.21907730243310231744
r1,R1,143,0.7809500100083087793
r1,not R1,143,0.21904998999169117996
r1,R1,144,0.7808911827644500717
r1,not R1,144,0.21910881723554994224
r1,R1,145,0.7809359730930790124
r1,not R1,145,0.21906402690692105588
r1,R1,146,0.7810003162719995425
