topic,white_M,hispanic_M,black_M,asian_M,white_F,hispanic_F,black_F,asian_F,carnegie_group,carnegie_tag
1,0.017104117091862126373,0.015520040399440582932,0.016762606747953753563,0.014788977149445570609,0.0148726992096733737756,0.013576898786578619389,0.0144416513023782027765,0.013414590153398994961,r1,R1
2,0.013626884066609942675,0.016619077162460806552,0.014101206368102143392,0.01490136856178515762,0.012115774801366798033,0.017359123331245977145,0.0127773271765210609525,0.01662548024677113482,r1,R1
3,0.0031554953841291229344,0.0039156742851924036605,0.003275962001088027013,0.003985099573764771641,0.004665972972935290479,0.005576297563409846262,0.004441561675576327162,0.0047565951810945170196,r1,R1
4,0.002890564543757932819,0.0032691693002304511108,0.0030859675282160303067,0.0035234731316003217172,0.0028980209554932947624,0.0028990799996399603364,0.0029924659228440504567,0.0030526845062717212283,r1,R1
5,0.0085076102148516988285,0.0076075493499911170066,0.008275496785949029243,0.0073844804177401614352,0.008804999389382208778,0.009617570150825787323,0.008857261017279877428,0.008275973965007985189,r1,R1
6,0.0117168843462752236,0.011873672519467051103,0.01116836040687408799,0.013929665108861704282,0.008859992509361862169,0.009248827748606869233,0.00911907769969148078,0.0109869022619453045065,r1,R1
7,0.0029449053165949047714,0.0033034043331234938667,0.0032207948755471531267,0.0034847355922782491669,0.0049894315079608711732,0.005417115682193527469,0.0050729539181520019424,0.004539765835865318874,r1,R1
8,0.00253456040937866169,0.0022207154862057613631,0.0025304187029792588036,0.0030610221082902905488,0.001829935936220597054,0.0016448140520693671939,0.0017603236623450591315,0.0018529984512080312696,r1,R1
9,0.0016985911317547581943,0.0018058260765207250012,0.0017642158518561334817,0.0018508121016974507924,0.0014913681240709294538,0.001493812614787582447,0.0015532719279479777456,0.0016568002908646089397,r1,R1
10,0.0052699150334415465167,0.005227686647959902484,0.0055740852615508475692,0.0056497492946410550195,0.0069139941765227864746,0.00657489434007150182,0.007102397255891540639,0.0073483958464721823785,r1,R1
11,0.004121774649591623923,0.0047936462894686270307,0.0046132960303537784325,0.004983602262606435724,0.010032074490218287598,0.011544055533261607508,0.010865710180473730593,0.010348493829334848066,r1,R1
12,0.0018953533707611161996,0.0019668897842776401358,0.0019002372611311711337,0.0017948516027226787009,0.0020720633543010698788,0.0018100845504061813099,0.001993325882136526846,0.0018476097760336565029,r1,R1
13,0.0025627865153350387468,0.0021683578300485245725,0.0024790964117624304105,0.0025255326701021719657,0.0019153939722047449155,0.0018049284223444985915,0.0018338724774461790238,0.0024099980413228208436,r1,R1
14,0.0036621612467237854944,0.0047494452909379604103,0.003572696153819964537,0.0060444727690290091787,0.0026199729604829177258,0.0025169127736088113115,0.0025123876313633858465,0.0032638641094943488018,r1,R1
