topic,white_M,hispanic_M,black_M,asian_M,white_F,hispanic_F,black_F,asian_F,carnegie_group,carnegie_tag
1,0.008451719113795587537,0.008940626847231855478,0.0085072617363572666475,0.0060991959582879339223,0.025100334900053429198,0.023275143906995905199,0.025222833435669084008,0.015211656802155697402,r1,R1
2,0.0052585727599146688756,0.0050729606135471485818,0.005278151386738543107,0.005350837099012189127,0.004204632433555270017,0.004266241326293918301,0.0040315867381302837207,0.0051901656157806386074,r1,R1
3,0.00047387418999856357938,0.0004819912011834435248,0.00046062111222056374736,0.0005019130011169980717,0.00046021602419908288233,0.00045661130948822829242,0.00043025905918617353315,0.00041845413323298436726,r1,R1
4,0.0009940996315966097204,0.0010492835127486308543,0.0009959138083209100926,0.0009934843525890157966,0.00076097539061683780985,0.00068861280187074072664,0.00075557878189083164835,0.0008641873867150658569,r1,R1
5,0.0044328954170096878626,0.0043684981654663878735,0.0042671102842628561345,0.004584764270592449038,0.003938923191136176262,0.003984932333677501481,0.0036794895612754015353,0.00395561648592289233,r1,R1
6,0.001760073333381432691,0.0019277625629832792383,0.001723614876830482054,0.0015184106675914718898,0.00140383157006917149,0.0012712863959031181276,0.0013442282108172961903,0.0013177727843826124003,r1,R1
7,0.0065864450855120369453,0.0066795103011497773804,0.006688898770618142058,0.0050087262356950342132,0.008479382474372256354,0.008584752959037877126,0.0085031108352428559204,0.006833592487481586494,r1,R1
8,0.0017180711265739166184,0.0017899958095175347819,0.0016999602895517679811,0.0022572990379364615867,0.0009831598586650933173,0.0009871417632323764009,0.0009478209564867831607,0.0014643377524629530831,r1,R1
9,0.00145448692758169698,0.0013260247479691689594,0.0014232297370221952109,0.0010135481031057708552,0.0016693306214909560806,0.0017792843009830707106,0.0015855305461307573875,0.0012763962135787188629,r1,R1
10,0.011825621640301602102,0.0122525513136694256535,0.0122932183153039286965,0.015734268828378723811,0.011016168033104534305,0.0107272629366026571995,0.010830882512326849582,0.012477234163932859813,r1,R1
11,0.001907824215642363697,0.0019042894612551922648,0.001796347474295467704,0.0026634076415561352283,0.0013596495873978690986,0.0014721045404049229308,0.0014019366240375121189,0.0019666381124570247518,r1,R1
12,0.0014617328374257009408,0.0013558440396555081297,0.0013509182742209899183,0.0009897255063106467224,0.0012044905646864976034,0.0011430263855788279764,0.0012076862551464395134,0.0009686143486094374179,r1,R1
13,0.0016269882143114323289,0.0018637559821650454271,0.0016904783854598663185,0.0014029373789202069448,0.001954719606009338281,0.0023738389471098662288,0.0021086691187856395495,0.0017953530434316661729,r1,R1
14,0.012938988958589582107,0.012850594909847991455,0.01332462594035955732,0.020256049660457754507,0.0045771208876599054723,0.0046830889637590218826,0.004576294750988105169,0.01138689636925965017,r1,R1
15,0.0005456530867399257432,0.00059475453941980701334,0.00055115494249852614864,0.0006745542288839807205,0.0004020666022536237072,0.00038978013466394575084,0.00040558098475240973197,0.0005292173549095113874,r1,R1
16,0.00079311785697004829157,0.00074997113564954680877,0.0008261666263839912437,0.000850261601782334317,0.000946337962646458462,0.0008969624379229628812,0.00087556265860869669865,0.0009063376128391248021,r1,R1
17,0.0045934293928631596695,0.005237578085378801542,0.0045638300194947015723,0.0043351036813100075084,0.0103436358207580087395,0.010235878213516776179,0.01078135513163500358,0.006705677600127234444,r1,R1
18,0.012773637481921831966,0.0143053611540378148005,0.012071097097295769456,0.01704032067680439773,0.0046837703506158004284,0.004486048359604361753,0.0042079344360973207636,0.009396933274197466384,r1,R1
19,0.008139436674046469999,0.007737896372477494007,0.007944450280222612851,0.005699818949181038382,0.0071518868925635187394,0.0072938292040994940886,0.0070312865945597963815,0.005844694375457599462,r1,R1
20,0.00046553376469155067264,0.00043006995535733129331,0.00046971239188372903286,0.00041216512654013299189,0.00049095862212755730865,0.000493532776479986097,0.00048606047725523974947,0.00044010847552413929596,r1,R1
21,0.0055416089101010936735,0.0053451050866367689717,0.0056316670840453936237,0.0050278443860951269784,0.0065504648562516694142,0.0062321820831733385068,0.006634188612107634456,0.006534771246567611716,r1,R1
22,0.0019269721652131945749,0.0018665016304245679021,0.001985255226319065769,0.0019735334809446810793,0.0021171193726559537337,0.0021197074843437577075,0.0021597258310850668523,0.0021255508356745183228,r1,R1
23,0.0063822866391062145375,0.006744468855959156274,0.00630800418832356447,0.0062850242652116741815,0.005200753137116599649,0.005347313931612134419,0.0050194685302761984823,0.0056254831514639774073,r1,R1
24,0.0010096673840535197792,0.0010843810108938095726,0.0010309447175202682267,0.00090447871744871978484,0.0013113538634033751018,0.0014248486861775990923,0.0013326669904295868506,0.0011274856034746283335,r1,R1
25,0.0015834619944745078255,0.0016803690488082844612,0.0015862660030350205944,0.0012485525558292968112,0.0015130252012956051826,0.0014921547690255758189,0.0015393384058675168161,0.0013151868465992610354,r1,R1
26,0.00093561017491656127494,0.0010444289796994937067,0.0009369403972110029913,0.0008595176023123601417,0.0007590284710405199088,0.0007510959909495402173,0.0008337712441589198516,0.00085680864288084879986,r1,R1
27,0.0005118083386275128859,0.0005540643495716619064,0.00053187740489569869597,0.0005723547399587971325,0.00062388924536302380664,0.0006590508056300347739,0.00061453586183760707877,0.00059262060272763127256,r1,R1
28,0.013403358684457307553,0.015467729990402508758,0.013533019376018006855,0.0101676164018156924885,0.013614326452031934915,0.017221255461010252967,0.0137152716766430519096,0.011955946970117081344,r1,R1
29,0.00043155018069698205258,0.00040435212974182764358,0.00040563403767924461691,0.00041485708735235810204,0.00033508425819686284334,0.00033400771070274393952,0.00032428251600733267835,0.00031754952127965161556,r1,R1
30,0.0013949207147422865367,0.0013705778281659878576,0.0014289862346352094402,0.0012164637462657602044,0.0013598115145869827894,0.0015494375248448171966,0.0014182497449531923318,0.0012736237801136771386,r1,R1
31,0.0036320665436555684999,0.0035144570841259419468,0.0037176270401967277056,0.0052692399445205603377,0.0040627712847767283763,0.0036545421897432001726,0.0040165980967302879946,0.005597973269574287388,r1,R1
32,0.0005981145080522637593,0.0005349308512936775035,0.0006255561535026768945,0.00055107621266779809817,0.00088921892456417128366,0.00097539414754253524893,0.0009188396380126088723,0.0007893028070787760757,r1,R1
33,0.001128830626378442625,0.001246358095457519278,0.0011253407939897103094,0.001104547638021775936,0.00097370503690811166847,0.0010545167907914055151,0.0010768763735927732492,0.00094692226525158012647,r1,R1
34,0.0006589015805630948272,0.00064825602543089967567,0.0006539624453388928334,0.0006164459352070836843,0.0008705674904944378757,0.00084082956147244055376,0.000877616864475155703,0.00071760479717010894514,r1,R1
35,0.0032327302666108148917,0.0028248659573110411514,0.0031430000210240272568,0.0023365744766558346845,0.003007274634410798985,0.0028845582928601451523,0.0028143486040385019055,0.0024445052000585364442,r1,R1
36,0.002398038614345388463,0.0023946247761042353167,0.0027789355791510475138,0.0019544080991210244332,0.0025651589451487521675,0.0023229878157517021263,0.0031782169292003906495,0.002038029090105772212,r1,R1
37,0.00077765748662686134,0.00082095830275086833283,0.00073650120135073507333,0.0009178516863605774042,0.00073110354734165364145,0.00080704030350114936374,0.0007536638381867644438,0.0007991859205268162493,r1,R1
38,0.0017789482213664346675,0.0017974151824182497537,0.0016506585068986341764,0.0022268944528327165843,0.0012406299066514890869,0.0011614971973187942365,0.0011929397614676103297,0.0015050350961953442675,r1,R1
39,0.007901044649750794279,0.0072298990654650605294,0.0081163373508848274385,0.005043921741565356958,0.008664286258991618274,0.0076823149604552953454,0.00853938985873585887,0.006123004429325536571,r1,R1
40,0.0013403294559615345388,0.0015895519581833507002,0.0012802337757719083924,0.0010212365121585299108,0.0012524496196390515906,0.0014995124322199677134,0.0012264521225981813919,0.0011189879539919475515,r1,R1
41,0.0005525321880081111159,0.00051498519607491625903,0.00054053659970114358857,0.0005658182515239377281,0.00043919410264297003136,0.00035775280612191461075,0.00040319620384992707852,0.00046642153316824392855,r1,R1
42,0.001106997852554966147,0.0011248546172508119034,0.0010868929303846176899,0.0010942411269820139864,0.00084609872441200584144,0.00086179497113560353154,0.00083160701279076365555,0.0010048939860662212098,r1,R1
43,0.0029561253534651643551,0.0025909673009999134124,0.003056036481428453346,0.002374247440678206255,0.005870535002772099004,0.0050384290133882977594,0.0061306270954222770188,0.00390121787272560672,r1,R1
44,0.0046111716688481550295,0.004752165416670793002,0.004149414122530794835,0.0047307293130885226344,0.0025113030516581199295,0.0026583265246284118246,0.0022876353441240665983,0.0029157406476752181394,r1,R1
45,0.0006221695292188399706,0.00060824830448471979573,0.0006053015687069258904,0.0008451376884245881634,0.00047340093570373088668,0.00054338279468491755055,0.00048643957108299393548,0.0006280506899034816482,r1,R1
46,0.0019433802339176693937,0.0020656060383583732482,0.002020242702097262917,0.0014798488309295302871,0.0022729725796115406829,0.0023121659832375759886,0.0023183687197907206326,0.0017060660336940083912,r1,R1
47,0.001364465650181101919,0.0012679031675095009057,0.001305252017107988032,0.0011121754920712467542,0.0012070515867407664718,0.0012578151349525470258,0.0011017109748463058903,0.0011980070686656440933,r1,R1
48,0.010440126721007072154,0.0111090884128272248865,0.011125115119858719101,0.009086538682461050452,0.019037536646839848123,0.01929861431560956869,0.019879160510542879577,0.014353836699920768773,r1,R1
49,0.0018120850488698568778,0.0017283487981389505614,0.0017242102478624650773,0.0022871612787088585462,0.0009927652340637116463,0.00086899106309138148027,0.0009784350589126900935,0.0015990968090743908037,r1,R1
50,0.045805504423556637083,0.045274108171159314295,0.046500060381585999227,0.030364125551551395238,0.058101521114608012734,0.059677021582494128764,0.058132901709048484208,0.044252629616085255963,r1,R1
51,0.009959847635875543035,0.012918297489897721596,0.009911863182189991469,0.006557503365633872601,0.0104440759260606503025,0.0145244635915979496,0.010231393737026622919,0.008808472770411065278,r1,R1
52,0.0023871490493324065957,0.002546949604034065039,0.0024164201421351158815,0.0024945388840053067987,0.0018496019867538987701,0.0019026747715913374471,0.001746070645432552629,0.0021183129613685131452,r1,R1
53,0.00062121693975746870135,0.00061380857828174133125,0.00060946895218225322497,0.000620558641215896868,0.00054023195461958934907,0.00046144982344483025006,0.00053722293912716502777,0.00057610112903972953094,r1,R1
54,0.018049450798893484999,0.017991167443542092791,0.01769678528694755213,0.01914411477883739574,0.012709901981532813001,0.012876392524426788625,0.012315211186517404966,0.016136035915130965109,r1,R1
55,0.0013891259206683895582,0.0014979236325195345711,0.0014377586237050099143,0.0011156388794210836971,0.0021785343774390596996,0.0021528131798813859867,0.0021870711240513202296,0.0016482980686411108343,r1,R1
56,0.0039162240966515476595,0.0042604573410738170425,0.0037866275095067208738,0.004546286280798122566,0.0027568896044838814333,0.0030912108226652175534,0.0028232533298396687146,0.0035907188430502888103,r1,R1
57,0.00065413639145406898787,0.000651124741827353236,0.00060368327819628365467,0.00041869245706086848798,0.0005454134973235761741,0.0005089919334821077395,0.00058151711755678122104,0.00041377760176728935564,r1,R1
58,0.0022689795054676718845,0.002349160026174197537,0.0022840605345930861834,0.0021140462959633238804,0.0032411329470832749633,0.0030120867788682457995,0.0033549190343035513374,0.002483859214279857338,r1,R1
59,0.00046981813860531794956,0.00043815254891168567878,0.00048236636633632128393,0.00046957955868309072276,0.0004810609793472374058,0.0004864181942623951352,0.00046993074025696785022,0.000545943831623184148,r1,R1
60,0.0011589686850685304168,0.0012244611012712996999,0.0011978777811019955986,0.0010241570665776894456,0.0013563535724011459866,0.0015219210241969406637,0.0014408848179829597513,0.0012058293573816133147,r1,R1
